Unnamed: 0,TMDB_ID,Title,Rating,Keywords,Poster_Link,Plot_Story,Genre1,Genre2
17738,742459,sosha,10.0,"south africa, romantic comedy, mzansi",https://image.tmdb.org/t/p/original/uf83BxSCDhtDP5OoYzVK9qNjSug.jpg,"Three friends occupied in a 1 room house, fighting for survival of debt and dealing with the problematic nyaope,alcohol and gambling",35,10749.0
17739,1239519,the vendetta project,10.0,"trevend, saggartfart",https://image.tmdb.org/t/p/original/uBsx5Kb33Yh0iWjVwf9saQ06GWK.jpg,"Two federal agents set out on a mission in order to avenge their dead friend by tracking down and stopping the leader of the biggest and most dangerous gang in New Zealand, whilst they face setbacks from malicious mob members.",28,80.0
17742,1178745,battle of the bands,10.0,"rival, band, action, hfc",https://image.tmdb.org/t/p/original/uGX2bw2eXPbLPgrCfOlOTIwbnOg.jpg,After the lead of his Band is kicked out he makes a new rival band to compete.,18,28.0
17751,1112416,scythe vs pole,10.0,fight,https://image.tmdb.org/t/p/original/rJlDWx3IXdoeuUvbo11Ol4r1fvh.jpg,The two arch-enemies meet for their ultimate battle.,28,35.0
17752,969317,amygdala,10.0,"psychological thriller, india, bangalore, short film",https://image.tmdb.org/t/p/original/rmyvBLNou2DiBBNmudaFXvgIdaL.jpg,"A guy tries to discern what's happening, as he suffers from a series of recurring nightmares of being followed by a mysterious being.",27,53.0
17755,1027847,consumption,10.0,"factory worker, factory, nightmare, donkey, meat, consumerism, ghost, consumption",https://image.tmdb.org/t/p/original/nChXy6FzJz7O4dBsCgtb60JDivP.jpg,"After a strange nightmare, a young factory worker's life and home become haunted by bizarre phantoms.",27,53.0
17756,992943,mantiac,10.0,"found footage, manta ray, no budget",https://image.tmdb.org/t/p/original/vc4w93lNt3n63x82rz2iE491YrO.jpg,Two hackers hoping to change their grades find themselves caught up in a dangerous conspiracy centering around manta rays.,18,35.0
17761,916654,losing luna,10.0,"identity, coming of age",https://image.tmdb.org/t/p/original/8HksZQDPihVwWo6b6KukVFBeM8n.jpg,"When Luna's superstitious family hides all the mirrors in the house, she decides to recover them, only to accidentally fall through one, transporting her to a new magical world. There she finds multiple versions of herself who have been confined and have grown jealous of her living in the real world while they hide in the shadows. Luna has to try and figure out how to escape while also being confronted with her identity crisis.",14,18.0
17762,939514,the sound of violet,6.25,romantic comedy,https://image.tmdb.org/t/p/original/tRSlTiUJuj1TSXAn2pus6PHIOom.jpg,"Desperate to find a wife, Shawn goes on one awkward date after another until he meets Violet. He thinks she’s his soulmate, but his autism and trusting nature keep him from realizing she’s actually a prostitute. Violet realizes something is different about Shawn, and it’s not just because he has a condition that allows him to “hear” colors. Shawn thinks he’s found a potential wife, while Violet thinks she’s found her ticket out of her own trapped life. Based on the award-winning novel.",35,18.0
17763,1143000,untitled slasher,10.0,"amateur film, horror comedy, independent film, horror, thriller",https://image.tmdb.org/t/p/original/g49NFRYvmIb5oQCqSaSWUIzr50m.jpg,"A short film completely made in the span of five days. The story follows a boy named Leonidas. After finding his grandfather dead, Leonidas must survive while a killer is loose in his home.",27,35.0
